"","sta.nm","Vehicle.types","hh","day","dur.v.use.sta","rank"
"266","강릉휴게소(인천)","승용차","16시","목",16.0566666666667,2585
"267","강릉휴게소(인천)","승용차","16시","토",16.475,2593
"268","강릉휴게소(인천)","승용차","17시","수",10.42,1415
"269","강릉휴게소(인천)","승용차","17시","목",15.5325,2455
"270","강릉휴게소(인천)","승용차","17시","토",13.8351666666667,1821
"271","강릉휴게소(인천)","승용차","18시","수",14.6748333333333,2308
"272","강릉휴게소(인천)","승용차","18시","목",17.7885,2975
"273","강릉휴게소(인천)","승용차","18시","토",12.9151666666667,1558
"274","강릉휴게소(인천)","승용차","19시","수",11.5588333333333,1633
"275","강릉휴게소(인천)","승용차","19시","목",11.3586666666667,1420
"276","강릉휴게소(인천)","승용차","19시","토",20.0551666666667,3426
"277","강릉휴게소(인천)","승용차","20시","수",19.7088333333333,3318
"278","강릉휴게소(인천)","승용차","20시","목",12.4775,1680
"279","강릉휴게소(인천)","승용차","20시","토",15.5316666666667,2314
"280","강릉휴게소(인천)","승용차","21시","수",14.6148333333333,2295
"281","강릉휴게소(인천)","승용차","21시","목",13.904,2034
"282","강릉휴게소(인천)","승용차","21시","토",13.0141666666667,1589.5
"283","강릉휴게소(인천)","승용차","22시","수",13.8988333333333,2120
"284","강릉휴게소(인천)","승용차","22시","목",10.3011666666667,1194
"285","강릉휴게소(인천)","승용차","22시","토",16.4296666666667,2580
"286","강릉휴게소(인천)","승용차","23시","수",1.66666666666667,396
"287","강릉휴게소(인천)","승용차","23시","목",3.99733333333333,424
"288","강릉휴게소(인천)","승용차","23시","토",7.38316666666667,571
"289","강릉휴게소(인천)","버스","0시","수",0,808
"290","강릉휴게소(인천)","버스","0시","목",3.2165,1537
"291","강릉휴게소(인천)","버스","0시","토",0,739.5
"292","강릉휴게소(인천)","버스","1시","수",0,808
"293","강릉휴게소(인천)","버스","1시","목",0,663.5
"294","강릉휴게소(인천)","버스","1시","토",0,739.5
"295","강릉휴게소(인천)","버스","2시","수",0,808
"296","강릉휴게소(인천)","버스","2시","목",0,663.5
"297","강릉휴게소(인천)","버스","2시","토",0,739.5
"298","강릉휴게소(인천)","버스","3시","수",0,808
"299","강릉휴게소(인천)","버스","3시","목",0,663.5
"300","강릉휴게소(인천)","버스","3시","토",0,739.5
"301","강릉휴게소(인천)","버스","4시","수",0,808
"302","강릉휴게소(인천)","버스","4시","목",0,663.5
"303","강릉휴게소(인천)","버스","4시","토",0,739.5
"304","강릉휴게소(인천)","버스","5시","수",0,808
"305","강릉휴게소(인천)","버스","5시","목",0,663.5
"306","강릉휴게소(인천)","버스","5시","토",0,739.5
"307","강릉휴게소(인천)","버스","6시","수",0,808
"308","강릉휴게소(인천)","버스","6시","목",0,663.5
"309","강릉휴게소(인천)","버스","6시","토",0,739.5
"310","강릉휴게소(인천)","버스","7시","수",0,808
"311","강릉휴게소(인천)","버스","7시","목",0.00333333333333333,1327
"312","강릉휴게소(인천)","버스","7시","토",12.8533333333333,2722
"313","강릉휴게소(인천)","버스","8시","수",0.0733333333333333,1623
"314","강릉휴게소(인천)","버스","8시","목",12.6266666666667,2477.5
"315","강릉휴게소(인천)","버스","8시","토",39.2633333333333,4063
"316","강릉휴게소(인천)","버스","9시","수",0.366666666666667,1659
"317","강릉휴게소(인천)","버스","9시","목",0.475,1388
"318","강릉휴게소(인천)","버스","9시","토",0,739.5
"319","강릉휴게소(인천)","버스","10시","수",0.136666666666667,1632
"320","강릉휴게소(인천)","버스","10시","목",47.7158333333333,4074
"321","강릉휴게소(인천)","버스","10시","토",0,739.5
"322","강릉휴게소(인천)","버스","11시","수",3.17666666666667,1811
"323","강릉휴게소(인천)","버스","11시","목",15.81,2830
"324","강릉휴게소(인천)","버스","11시","토",16.3633333333333,3194
"325","강릉휴게소(인천)","버스","12시","수",13.5816666666667,2766
"326","강릉휴게소(인천)","버스","12시","목",24.5033333333333,3424
"327","강릉휴게소(인천)","버스","12시","토",0.546666666666667,1544
"328","강릉휴게소(인천)","버스","13시","수",24.4666666666667,3580
"329","강릉휴게소(인천)","버스","13시","목",62.5066666666667,4234
"330","강릉휴게소(인천)","버스","13시","토",0,739.5
"331","강릉휴게소(인천)","버스","14시","수",9.05333333333333,2297.5
"332","강릉휴게소(인천)","버스","14시","목",0.263333333333333,1373
"333","강릉휴게소(인천)","버스","14시","토",110.031666666667,4331
"334","강릉휴게소(인천)","버스","15시","수",3.5255,1839
"335","강릉휴게소(인천)","버스","15시","목",0.613333333333333,1397
"336","강릉휴게소(인천)","버스","15시","토",17.6233333333333,3324
"337","강릉휴게소(인천)","버스","16시","수",35.41,3929
"338","강릉휴게소(인천)","버스","16시","목",0,663.5
"339","강릉휴게소(인천)","버스","16시","토",17.5133333333333,3313
"340","강릉휴게소(인천)","버스","17시","수",0,808
"341","강릉휴게소(인천)","버스","17시","목",6.87333333333333,1837
"342","강릉휴게소(인천)","버스","17시","토",14.1716666666667,2926
"343","강릉휴게소(인천)","버스","18시","수",0,808
"344","강릉휴게소(인천)","버스","18시","목",0,663.5
"345","강릉휴게소(인천)","버스","18시","토",21.4786666666667,3583
"346","강릉휴게소(인천)","버스","19시","수",0.126666666666667,1631
"347","강릉휴게소(인천)","버스","19시","목",0,663.5
"348","강릉휴게소(인천)","버스","19시","토",43.9911666666667,4123
"349","강릉휴게소(인천)","버스","20시","수",0,808
"350","강릉휴게소(인천)","버스","20시","목",11.6566666666667,2365
"351","강릉휴게소(인천)","버스","20시","토",0,739.5
"352","강릉휴게소(인천)","버스","21시","수",0,808
"353","강릉휴게소(인천)","버스","21시","목",0,663.5
"354","강릉휴게소(인천)","버스","21시","토",0,739.5
"355","강릉휴게소(인천)","버스","22시","수",0,808
"356","강릉휴게소(인천)","버스","22시","목",0,663.5
"357","강릉휴게소(인천)","버스","22시","토",0,739.5
"358","강릉휴게소(인천)","버스","23시","수",0,808
"359","강릉휴게소(인천)","버스","23시","목",0,663.5
"360","강릉휴게소(인천)","버스","23시","토",0,739.5
"361","강릉휴게소(인천)","화물차","0시","수",0.631,632
"362","강릉휴게소(인천)","화물차","0시","목",0.122,449
"363","강릉휴게소(인천)","화물차","0시","토",0,446.5
"364","강릉휴게소(인천)","화물차","1시","수",0.0643333333333333,606
"365","강릉휴게소(인천)","화물차","1시","목",0,220
"366","강릉휴게소(인천)","화물차","1시","토",7.62416666666667,1411
"367","강릉휴게소(인천)","화물차","2시","수",0,301
"368","강릉휴게소(인천)","화물차","2시","목",0,220
"369","강릉휴게소(인천)","화물차","2시","토",8.87716666666667,1515
"370","강릉휴게소(인천)","화물차","3시","수",0,301
"371","강릉휴게소(인천)","화물차","3시","목",0.980666666666667,486
"372","강릉휴게소(인천)","화물차","3시","토",0,446.5
"373","강릉휴게소(인천)","화물차","4시","수",0,301
"374","강릉휴게소(인천)","화물차","4시","목",0,220
"375","강릉휴게소(인천)","화물차","4시","토",0.1235,901
"376","강릉휴게소(인천)","화물차","5시","수",0,301
"377","강릉휴게소(인천)","화물차","5시","목",0,220
"378","강릉휴게소(인천)","화물차","5시","토",0.506833333333333,928
"379","강릉휴게소(인천)","화물차","6시","수",0,301
"380","강릉휴게소(인천)","화물차","6시","목",0,220
"381","강릉휴게소(인천)","화물차","6시","토",27.77,2990
"382","강릉휴게소(인천)","화물차","7시","수",0.206666666666667,612
"383","강릉휴게소(인천)","화물차","7시","목",17.2645,1641
"384","강릉휴게소(인천)","화물차","7시","토",32.4036666666667,3261
"385","강릉휴게소(인천)","화물차","8시","수",50.7333333333333,3884
"386","강릉휴게소(인천)","화물차","8시","목",7.35666666666667,820
"387","강릉휴게소(인천)","화물차","8시","토",119.42,4329
"388","강릉휴게소(인천)","화물차","9시","수",18.8988333333333,1989
"389","강릉휴게소(인천)","화물차","9시","목",16.2033333333333,1541
"390","강릉휴게소(인천)","화물차","9시","토",37.3866666666667,3491
"391","강릉휴게소(인천)","화물차","10시","수",23.3858333333333,2404
"392","강릉휴게소(인천)","화물차","10시","목",4.95166666666667,655
"393","강릉휴게소(인천)","화물차","10시","토",10.1366666666667,1605
"394","강릉휴게소(인천)","화물차","11시","수",12.9621666666667,1403
"395","강릉휴게소(인천)","화물차","11시","목",37.5441666666667,3426
"396","강릉휴게소(인천)","화물차","11시","토",0,446.5
"397","강릉휴게소(인천)","화물차","12시","수",44.5433333333333,3726
"398","강릉휴게소(인천)","화물차","12시","목",84.7216666666667,4255
"399","강릉휴게소(인천)","화물차","12시","토",49.5433333333333,3824
"400","강릉휴게소(인천)","화물차","13시","수",28.47,2855
"401","강릉휴게소(인천)","화물차","13시","목",27.9745,2759
"402","강릉휴게소(인천)","화물차","13시","토",0,446.5
"403","강릉휴게소(인천)","화물차","14시","수",0.333333333333333,620
"404","강릉휴게소(인천)","화물차","14시","목",10.8688333333333,1053
"405","강릉휴게소(인천)","화물차","14시","토",0,446.5
"406","강릉휴게소(인천)","화물차","15시","수",30.1933333333333,3012
"407","강릉휴게소(인천)","화물차","15시","목",0.376666666666667,463.5
"408","강릉휴게소(인천)","화물차","15시","토",127.8055,4347
"409","강릉휴게소(인천)","화물차","16시","수",68.714,4145
"410","강릉휴게소(인천)","화물차","16시","목",2.97083333333333,558
"411","강릉휴게소(인천)","화물차","16시","토",72.7633333333333,4108
"412","강릉휴게소(인천)","화물차","17시","수",0,301
"413","강릉휴게소(인천)","화물차","17시","목",5.82666666666667,708
"414","강릉휴게소(인천)","화물차","17시","토",8.87333333333333,1514
"415","강릉휴게소(인천)","화물차","18시","수",0,301
"416","강릉휴게소(인천)","화물차","18시","목",37.1866666666667,3406
"417","강릉휴게소(인천)","화물차","18시","토",0,446.5
"418","강릉휴게소(인천)","화물차","19시","수",15.0083333333333,1593
"419","강릉휴게소(인천)","화물차","19시","목",31.5066666666667,3048
"420","강릉휴게소(인천)","화물차","19시","토",0,446.5
"421","강릉휴게소(인천)","화물차","20시","수",5.82666666666667,870.5
"422","강릉휴게소(인천)","화물차","20시","목",15.4588333333333,1468
"423","강릉휴게소(인천)","화물차","20시","토",79.4005,4161
"424","강릉휴게소(인천)","화물차","21시","수",36.2833333333333,3382
"425","강릉휴게소(인천)","화물차","21시","목",2.26,525
"426","강릉휴게소(인천)","화물차","21시","토",43.7211666666667,3707
